id,week,title,url,thunmbnail,author,summary,genre,age,company
623,완결웹툰,리안소울의 엑소클럽,https://comic.naver.com/webtoon/list?titleId=768097,https://shared-comic.pstatic.net/thumb/webtoon/768097/thumbnail/thumbnail_IMAG10_69f6cba2-dfa3-472e-981a-1d002833b211.jpg,신진오 / 박희정,녹안'을 가진 신비한 소녀 소울과 천재 사이코패스 리안. 미스테리한 '저주계' 사건을 해결하기 위해 의기투합하다.,"스토리, 판타지",전체연령가,네이버
624,완결웹툰,안녕 나의 모모로,https://comic.naver.com/webtoon/list?titleId=754484,https://shared-comic.pstatic.net/thumb/webtoon/754484/thumbnail/thumbnail_IMAG10_881980b4-5c92-4779-9d3f-a7324b9061f0.jpg,켄타,전쟁 후 홀로 남은 소년 로이.자신을 챙겨준 고양이 모모로의 죽음을 받아들이지 못하고 헤매는데...외톨이 소년 로이의 가슴 아프지만 따뜻한 이야기,"스토리, 감성",전체연령가,네이버
625,완결웹툰,불발소년,https://comic.naver.com/webtoon/list?titleId=743721,https://shared-comic.pstatic.net/thumb/webtoon/743721/thumbnail/thumbnail_IMAG10_1a440839-f0da-4260-a107-8840f6fa4fc9.jpg,곤세,"킬러소년 민준, 소녀를 만나고 삶이 달라지다어렸을 때부터 프로 킬러로 교육받고 자란 민준은 어느날 수학여행에서 한 소녀를 만나게 되고 감정이 없는 그에게 감정이라는 것이 자라나기 시작한다.","에피소드, 드라마",전체이용가,네이버
626,완결웹툰,경비 배두만,https://comic.naver.com/webtoon/list?titleId=744384,https://shared-comic.pstatic.net/thumb/webtoon/744384/thumbnail/thumbnail_IMAG10_cc5d5c43-8b7b-4250-ad01-fe845f36a021.jpg,이영곤,지난 인생이 후회스러운 건달 출신의 60대 아파트 경비원 '두만'과 남은 인생이 막막한 20대 흥신소 직원 '새봄'거대한 범죄 세력에 맞서기 위해 힘을 합쳤다!,"스토리, 액션",15세 이용가,네이버
627,완결웹툰,틴맘,https://comic.naver.com/webtoon/list?titleId=726467,https://shared-comic.pstatic.net/thumb/webtoon/726467/thumbnail/thumbnail_IMAG10_aeda98d3-f28d-4b9a-b9db-9ea210b0e200.jpg,theterm,나 혼자서 잘 할수 있을까?어린 엄마의 좌충우돌 육아일기,"스토리, 드라마",12세 이용가,네이버
628,완결웹툰,냐한남자,https://comic.naver.com/webtoon/list?titleId=708452,https://shared-comic.pstatic.net/thumb/webtoon/708452/thumbnail/thumbnail_IMAG10_b74bdb0c-5a22-4989-8438-1408db6802dd.jpg,올소,"냥줍을 잘못하면...남자친구가 생깁니다(?)그들의 기묘한 동거가 시작되는 순간,오늘부터 당신도 '춘배'의 매력에 헤어나올 수 없습니다.","스토리, 로맨스",전체연령가,네이버
629,완결웹툰,신상 미스터리 극장,https://comic.naver.com/webtoon/list?titleId=740377,https://shared-comic.pstatic.net/thumb/webtoon/740377/thumbnail/thumbnail_IMAG10_73d4b263-f53a-4c17-9fb5-80e5609ad514.jpg,신상윤,"예상을 뒤엎을 연극의 막이 올랐다.당신의 상상, 그 이상의 것","옴니버스, 스릴러",15세 이용가,네이버
630,완결웹툰,그놈은 흑염룡,https://comic.naver.com/webtoon/list?titleId=733080,https://shared-comic.pstatic.net/thumb/webtoon/733080/thumbnail/thumbnail_IMAG10_989e4c91-a2eb-4369-a058-bce2f1ecbdea.jpg,혜진양,요즘 것들은 랜덤채팅 한다고? 2000년대엔 게임 ♨정모♨가 있었다!그곳에서 만난 그 남자 흑.염.룡.,"스토리, 로맨스",전체연령가,네이버
631,완결웹툰,공방의 마녀,https://comic.naver.com/webtoon/list?titleId=768094,https://shared-comic.pstatic.net/thumb/webtoon/768094/thumbnail/thumbnail_IMAG10_eeb96595-e00f-4be3-8357-8a4061861e5d.jpg,박소희,"저주를 받은 자, 저주를 건 자, 저주를 수호하는 자-괴상한 저주를 둘러싼 세 가문의 이야기.영국 공작가의 아들과 마녀의 후손 그리고 저주를 수호하는 자의 후손이 벌이는 삼각관계!","스토리, 로맨스",전체연령가,네이버
632,완결웹툰,얌전한 사이,https://comic.naver.com/webtoon/list?titleId=745653,https://shared-comic.pstatic.net/thumb/webtoon/745653/thumbnail/thumbnail_IMAG10_c474b09f-3ad0-4aee-941e-ca77bdd2a189.jpg,JQ / 이진영,바라보기만 했던 그 사람이 아내를 잃었다. 미쳤어! 난 결혼했잖아…,"스토리, 드라마",15세 이용가,네이버
633,완결웹툰,셧업앤댄스,https://comic.naver.com/webtoon/list?titleId=737032,https://shared-comic.pstatic.net/thumb/webtoon/737032/thumbnail/thumbnail_IMAG10_05ac59d5-7288-4fa5-b931-4cff4f93c35e.jpg,이은재,아이돌 연습생 5년. 오디션 프로그램 탈락. 학교로 돌아왔다.에어로빅부??? 제발 날 내버려 둬! 난 이제 조용히 살고 싶다고!,"스토리, 드라마",전체연령가,네이버
634,완결웹툰,악령주의보,https://comic.naver.com/webtoon/list?titleId=753223,https://shared-comic.pstatic.net/thumb/webtoon/753223/thumbnail/thumbnail_IMAG10_a9161321-71eb-44ec-b237-a73907f4e5c5.jpg,토마토모닝,"귀신을 보는 소녀 순심. 어느 날, 외면하고 싶었던 사건에 뛰어들다...?!나에게는... 귀신이 보인다...!","스토리, 액션",전체연령가,네이버
635,완결웹툰,Here U Are,https://comic.naver.com/webtoon/list?titleId=721109,https://shared-comic.pstatic.net/thumb/webtoon/721109/thumbnail/thumbnail_IMAG10_844cec4a-9b1b-4e38-9c0c-d1ab94059edc.jpg,D JUN,"학교 최고의 인싸 선배 현우, 말 없고 무뚝뚝한 아싸 신입생 재환성격도 생각도 반대인 두 사람의 만남은 악연? 아니면 인연?입학식에서 만나 특별한 사이(?)가 될 두 사람의 이야기","스토리, 로맨스",12세 이용가,네이버
636,완결웹툰,오늘도 사랑하세요,https://comic.naver.com/webtoon/list?titleId=733768,https://shared-comic.pstatic.net/thumb/webtoon/733768/thumbnail/thumbnail_IMAG10_5785c9e2-a6f4-46df-a726-8bbbfae17dab.jpg,하찌,우리 주변에 진짜 큐피드가 있다면 믿으시겠어요?큐피드의 사랑만들기 대작전 시작합니다.,"스토리, 로맨스",전체연령가,네이버
637,완결웹툰,저세상 클라스!,https://comic.naver.com/webtoon/list?titleId=733765,https://shared-comic.pstatic.net/thumb/webtoon/733765/thumbnail/thumbnail_IMAG10_211e16c4-82fc-4669-87a5-0b34f8a1b276.jpg,꾀돌이,외모때문에 일진으로 오해받지만 속마음은 여린 최강희에게 싸움고수 할머니 영혼이 빙의되었다?!입학하자마자 의강고 서열 1위 일진짱이 된 '최강희'! 무서운 인상과 살벌한 말투에 모두가 그 앞에만 서면 벌벌 떨며 도망치지만... 사실 그는 친구 100명 만들기가 소원인 마음씨 착한 여린 소년이었다!어느날 우연히 10년 전에 돌아가신 할머니의 유골함을 떨어트린 손자 강희에게 할머니의 영혼이 빙의되는데...핵인싸 싸움고수 할머니가 빙의된 상태로 펼쳐지는 강희의 파란만장한 학교생활! 숨겨진 할머니의 비밀권법! 강희야 가자!!,"스토리, 액션",전체연령가,네이버
638,완결웹툰,모럴센스,https://comic.naver.com/webtoon/list?titleId=764797,https://shared-comic.pstatic.net/thumb/webtoon/764797/thumbnail/thumbnail_IMAG10_6253173b-8037-4b5d-869d-cf1200a7e70a.jpg,겨울,"일반인들과는 '아주 조금' 남다른 성향을 지닌 한 남자, 꿈에 그리던 '주인님'을 만나다?!오해와 진실 사이에서 아슬아슬 피어나는, 아주 조금(?) 남다를 뿐인 로맨스!","스토리, 로맨스",15세 이용가,네이버
639,완결웹툰,지구멸망버튼,https://comic.naver.com/webtoon/list?titleId=738488,https://shared-comic.pstatic.net/thumb/webtoon/738488/thumbnail/thumbnail_IMAG10_3dc0bac8-87e4-430a-91b9-cf39cdf89a5c.jpg,박장고 / 신동구,갑자기 생겨난 의문의 빨간 버튼그리고 필사적으로 버튼을 지켜내려는 자들빨간 버튼을 누르면 지구가 멸망한다고!?,"스토리, 액션",12세 이용가,네이버
640,완결웹툰,[드라마원작] 간 떨어지는 동거,https://comic.naver.com/webtoon/list?titleId=699415,https://shared-comic.pstatic.net/thumb/webtoon/699415/thumbnail/thumbnail_IMAG10_64dbd565-a463-4cb8-b4bb-131bd082cc44.jpg,나,인간이 되고자 900년간 노력해왔지만  불의의 사고로 한 여대생에게 여우구슬을 빼앗기게 된 (잘생긴) 구미호 어르신.어르신은 사태를 해결하기 위해 그녀에게 동거를 제안하게 되는데...,"스토리, 로맨스",전체연령가,네이버
641,완결웹툰,손아귀,https://comic.naver.com/webtoon/list?titleId=739439,https://shared-comic.pstatic.net/thumb/webtoon/739439/thumbnail/thumbnail_IMAG10_dc7f876a-c44a-4e45-906e-b71a93e0935e.jpg,황정훈,직장인 브이로그를 운영중인 소진.알 수 없는 살인사건에 휘말리다.,"스토리, 스릴러",15세 이용가,네이버
642,완결웹툰,킬더킹,https://comic.naver.com/webtoon/list?titleId=670145,https://shared-comic.pstatic.net/thumb/webtoon/670145/thumbnail/title_thumbnail_20160105121235_t83x90.jpg,마사토끼 / joana,"왕의 재능이란 무엇일까?왕좌의 새로운 주인, 진정한 왕에 걸맞는 재능을 가려내는 게임이 시작된다!","스토리, 드라마",전체연령가,네이버
643,완결웹툰,그날 죽은 나는,https://comic.naver.com/webtoon/list?titleId=731019,https://shared-comic.pstatic.net/thumb/webtoon/731019/thumbnail/thumbnail_IMAG10_7d99a1a1-28ee-466c-a51d-cd293118b47b.jpg,이언,"기숙학교에서 펼쳐지는 미스터리 스릴러!전학생 양이영은 교실에서 옛 친구를 마주치게 되지만...눈에 띄게 변해버린 그 아이, 무슨 일이 있었던 걸까?","스토리, 드라마",12세 이용가,네이버
644,완결웹툰,블루투스,https://comic.naver.com/webtoon/list?titleId=737378,https://shared-comic.pstatic.net/thumb/webtoon/737378/thumbnail/thumbnail_IMAG10_6f25b6d1-d85f-4e39-be10-592a084e0a34.jpg,국승원,탐사선의 폭발!우주 한가운데 홀로 남겨진 우주 비행사.이 광활하고 고독한 싸움에서 그는 과연 살아남을 수 있을까?,"스토리, 판타지",전체연령가,네이버
645,완결웹툰,관계의 종말,https://comic.naver.com/webtoon/list?titleId=752803,https://shared-comic.pstatic.net/thumb/webtoon/752803/thumbnail/thumbnail_IMAG10_4af72cf0-4497-471a-a68e-8b2053a23df7.jpg,김용키,"<타인은 지옥이다> 김용키 작가의 신작!여자친구와 함께 떠난, 비경에 숨겨진 펜션으로의 여름휴가.하지만 불쾌한 펜션 주인을 시작으로 주인공의 트라우마를 끄집어내는 끔찍한 만남들이 이어진다.지옥으로 치닫는 사건과 사고.. 이제 모든 것을 끝낼 때가 왔다.","스토리, 스릴러",15세 이용가,네이버
646,완결웹툰,지랄발광,https://comic.naver.com/webtoon/list?titleId=764796,https://shared-comic.pstatic.net/thumb/webtoon/764796/thumbnail/thumbnail_IMAG10_3fb5b852-693a-4ea1-8e94-a91fe0db548e.jpg,김인호,청춘이 질주한다. 그곳에 꿈이 있으니까! 화려한 농구와 청춘의 프리스타일,"스토리, 드라마",12세 이용가,네이버
647,완결웹툰,신의 언어,https://comic.naver.com/webtoon/list?titleId=602287,https://shared-comic.pstatic.net/thumb/webtoon/602287/thumbnail/thumbnail_IMAG10_da8fdd2b-fdd5-4c45-831d-91a1e5b639f4.jpg,장래혁,퇴마계의 신개념 영웅!프로그래머 난새의 마계 전투가 시작된다!,"스토리, 판타지",12세 이용가,네이버
648,완결웹툰,후기,https://comic.naver.com/webtoon/list?titleId=752072,https://shared-comic.pstatic.net/thumb/webtoon/752072/thumbnail/thumbnail_IMAG10_c9c80aff-b830-4656-a964-dd297030c068.jpg,조석,무가지에 연재되던 삼류 소설이 사실은 누군가의 살인 후기였다!,"스토리, 스릴러",15세 이용가,네이버
649,완결웹툰,9등급 뒤집기,https://comic.naver.com/webtoon/list?titleId=737831,https://shared-comic.pstatic.net/thumb/webtoon/737831/thumbnail/thumbnail_IMAG10_fb2e2899-8de5-4aec-bd90-94e786635592.jpg,아백,한번호로 찍어도 받기힘들다는 9등급을 받는 이인범공부를 못한다는 이유로 온갖 괄시를 받다가 복수를 위해 1등급을 노리게 되고이를 돕기 위한 만화가 지망생 과외선생의 특훈을 받게 되는데...,"스토리, 드라마",전체연령가,네이버
650,완결웹툰,FM보이,https://comic.naver.com/webtoon/list?titleId=737009,https://shared-comic.pstatic.net/thumb/webtoon/737009/thumbnail/thumbnail_IMAG10_1bc26a1e-7ba4-4cb4-b42f-85bdc22fd54a.jpg,육일공,"걸어 다니는 도덕 교과서라고 불릴 정도로 정석을 따르는 FM 고등학생 오사랑.그에겐 특별한 비밀이 있는데 그것은 바로... ""오직 고운 말들만 들린다”는 것이다!반면, 타인의 나쁜 말이나 욕설은 그에게 잡음처럼 지직거리며 들릴 뿐이다.잡음 섞인 세상 속에서 살아온 사랑은 어느 날, 티 없이 맑은 목소리를 가진 소녀 '리나'를 만난다.사랑은 난생처음 설레는 감정을 느끼고 그녀를 따라 방송부까지 입부하게 되지만... 알고 보니 그녀는 욕쟁이?!""나쁜 말을 해도 사람들에겐 고운 말로 번역되어 들리는"" 반전 소녀 소리나. 그러나 어째선지 사랑이에겐 통하지 않는다.난생처음 욕이란 걸 생생히 들어본 '사랑'과 전교 최고 욕쟁이 '리나'의 쌍방향 의사소통 로맨스!","스토리, 로맨스",전체연령가,네이버
