week,title,url,thunmbnail,author,summary,genre,age,company
금요일,미혼남녀의 효율적 만남,https://comic.naver.com/webtoon/list?titleId=774868&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/774868/thumbnail/thumbnail_IMAG10_3bfeac25-5609-4302-b0ab-ad4a16c7abac.jpg,타리,"사랑만으론 부족하고 조건만으론 아쉬운 요즘 미혼남녀들의 효율추구 로맨스!마냥 현실적이기도, 마냥 환상을 꿈꾸기도 어려운 나이인 33세의 직장인 이의영.외모보통, 스펙보통인 그녀가 소개팅으로 두 명의 남자를 만난다.<좋아하는 부분> 타리 작가의 현실고증 로맨스 신작.","스토리, 로맨스",전체연령가,네이버
금요일,미친 후작을 길들이고 말았다,https://comic.naver.com/webtoon/list?titleId=778325&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/778325/thumbnail/thumbnail_IMAG10_c2207eed-17d3-4457-9c67-82f7b4a4c7cd.jpg,"로판맛집, 골지 / 이레","다이크 가문과 로마니크 황가 사이의 흑막 속에서제3황자 헤이젠에 의해 에스칼은 이용당하고,그런 그를 뒤흔드는 라라노이의 등장에 감춰진 이야기들이 하나씩 밝혀지게 된다.같은 상처를 품은 두 남자는 자신과 정반대의 빛을 가진 라라노이를 사랑하게 되고,사랑을 잘 모르는 두 남자의 삐뚤어진 애정공세는 큰 변화를 몰고오게 되는데…","스토리, 로맨스",전체연령가,네이버
금요일,엽사:요괴사냥꾼,https://comic.naver.com/webtoon/list?titleId=769210&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/769210/thumbnail/thumbnail_IMAG10_4c62e25c-eab7-413b-8b6b-470075b846c2.jpg,삼박,"전쟁과 요괴가 들끓는 난세의 시대.부모에게 버림받고, 생계를 위해 약초꾼 일을 하며 살아온 소년 오석.어느 날 도적의 꾀임에 넘어가 요괴에게 자신의 몸을 뺏길 뻔한다.순간적인 기지와 요괴사냥꾼인 엽사의 도움으로 살아난 오석.하지만 그의 몸 속에는 아직 요괴가 숨어있는 상태!요괴를 꺼내줄 수 있는 사람을 찾아 마을을 떠나게 되는데..","스토리, 액션",15세 이용가,네이버
금요일,후덜덜덜 남극전자,https://comic.naver.com/webtoon/list?titleId=732036&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/732036/thumbnail/thumbnail_IMAG10_8b515b33-a333-4be4-9d82-fd23d4337378.jpg,김민혁,"남극전자 출근 1일차, 신입사원 김정훈! 이직을 준비중입니다.","옴니버스, 개그",전체연령가,네이버
금요일,사람의 조각,https://comic.naver.com/webtoon/list?titleId=765821&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/765821/thumbnail/thumbnail_IMAG10_508fede6-60a7-4f46-8973-928a5771b539.jpg,신의철 / 천범식,"인간으로서의 의식은 돌아왔지만, 이미 육체는 썩어 죽어가는 ‘치유된 좀비’들.생존한 인간들을 사냥한 후, 온전한 신체를 이식받는 것만이 살아남을 수 있는 유일한 방법이다.조각난 정신과 조각난 육체, 조각난 인간성…이미 깨져버린 ‘사람의 조각’들만 남은 치유자들의 처절한 생존기!","스토리, 스릴러",15세 이용가,네이버
금요일,여우놀이,https://comic.naver.com/webtoon/list?titleId=768469&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/768469/thumbnail/thumbnail_IMAG10_f2a8a377-e480-4ee6-b7fd-cbeaa75136dd.jpg,황혜진,"평범하게만 살아온 박온유의 일상에 어느 날 찾아와 둘도 없는 베프가 된 ‘예쁜 애’ 신채리.두 사람은 서울 최상위 학군의 명문 고등학교 상목고에 진학하게 된 후, 모든 10대들의 워너비 ‘상목고의 여우들’을 만나 아슬아슬한 여우놀이에 휘말리게 되는데….욕망을 품은 10대 소녀들의 사랑과 우정에 관한 이야기!","스토리, 드라마",전체연령가,네이버
금요일,피와 나비,https://comic.naver.com/webtoon/list?titleId=749633&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/749633/thumbnail/thumbnail_IMAG10_f634f59e-1714-45cd-a7f6-17853daf80b7.jpg,레민,"어느 날 나타난 정체불명의 괴물 '벌레'와, 그에 맞서는 힘을 가진 '나비'의 아이들.","스토리, 판타지",15세 이용가,네이버
금요일,감자마을,https://comic.naver.com/webtoon/list?titleId=759418&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/759418/thumbnail/thumbnail_IMAG10_23004717-bb95-4c26-8986-052aa74646ac.jpg,박지독,감자 청년이 펼치는 격정막장 작물드라마!감자마을에 살고 있는 주인공 한감자는 꿈을 이루기 위해 감자마을을 떠난다.하지만 감자마을 밖은 고난과 역경 그 자체.마을을 떠나자마자 예상치 못한 살인 사건에 휘말리며 위험에 처하게 된다.과연 한감자는 무사히 살아남아 다시 감자마을로 돌아갈 수 있을 것인가?,"스토리, 개그",12세 이용가,네이버
금요일,네버엔딩달링,https://comic.naver.com/webtoon/list?titleId=758660&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/758660/thumbnail/thumbnail_IMAG10_5226b90b-6de4-4bdd-9bed-411bc3ecdf1f.jpg,울리,"""남자친구의 집에서 죽어있는 나를 발견했다.""복제산업으로 생명 연장이 가능한 시대. 취준생 윤하임은 이 기술을 만든 남자친구 지근후와 연애 중이다.어느 날, 하임은 우연히 그의 집에서 자신의 시체를 발견하고, 자신이 복제되고 있다는 것을 알아버렸다.끊임없이 죽고, 복제 당하는 반복으로부터 벗어날 수 있을까?","스토리, 스릴러",15세 이용가,네이버
금요일,"주님, 악마가 되게 해주세요!",https://comic.naver.com/webtoon/list?titleId=769567&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/769567/thumbnail/thumbnail_IMAG10_fe06aec8-eaa4-4a0f-897b-b11d70d2f5bd.jpg,불사 / 용가리,"생활고의 마녀로 불리는 소녀, 백모란.사실 그녀의 정체는 벌을 받아 인간으로 태어난 전직 악마다.몇 번의 생을 되풀이해도 인간으로 태어나는 윤회의 굴레에서 벗어나고자 이번 생에는 전생들과는 다르게 착하고 인간다운 삶을 살고자 한다.하지만 본성은 악하고, 세상은 그녀를 착하게 내버려두지 않는다. 과연 모란은 이번 생에 다시 악마로 돌아갈 수 있을까?","스토리, 개그",전체연령가,네이버
