week,title,url,thumbnail,author,summary,genre,age,company
화요일,조만국박람회,https://www.lezhin.com/ko/comic/expo,https://ccdn.lezhin.com/v2/comics/5275168827310080/images/wide.webp?updated=1626417570580&width=277,조만국,"조만국 : 일상툰 하겠습니다.
PD : 오
조만국 : 하지만 제 일상은 비밀입니다.
PD : ?
조만국 : 저는 여러분께 제 일상을 공유할 생각이 없습니다.
PD : ?!!
원고를 읽고 킹받은 담당PD가 퇴사까지 고민하게 만든, 조만국 작가의 신비주의 일상툰!",일상,15세 이용가,레진코믹스
화요일,오타쿠에게 사랑은 어려워,https://www.lezhin.com/ko/comic/otakoi,https://ccdn.lezhin.com/v2/comics/6466786480095232/images/wide.webp?updated=1626671868338&width=277,후지타,"나루미는 매번 오타쿠라는 이유로 차이고, 그럴 때마다 게임 오타쿠인 히로타카에게 하소연한다. 사귀는 게 아까울 정도로 죽이 잘 맞던 두 사람, 둘의 관계에 변화가 일어나는데! ""나라면 아이템 수집이든 렙업이든 얼마든지 같이 해줄거고, 야근해도 기다려 줄거고, 실망시키지도 울리지도 않을 거야.""
일본 pixiv 초인기 연재작 레진 독점 선공개",로맨스,15세 이용가,레진코믹스
화요일,"시선 끝, 30도",https://www.lezhin.com/ko/comic/stare,https://ccdn.lezhin.com/v2/comics/5073458287935488/images/wide.webp?updated=1606982348178&width=277,소보로 / 글: 여로,도진에게 연우는 그저 특이한 애였다. 그러나 언젠가부터 도진의 시선은 연우를 쫓고 있었다. 도진은 어째서 그 애에게 시선을 뗄 수 없는 걸까? 그리고 도진이 느끼는 그 감정은 대체 무엇일까?,BL,15세 이용가,레진코믹스
화요일,용의 아들 최창식,https://www.lezhin.com/ko/comic/dragon,https://ccdn.lezhin.com/v2/comics/6613349614616576/images/wide.webp?updated=1590400188389&width=277,임인스,"임인스 작가의 <용의 아들 최창식>이 레진에 도착했다!
전직 촌장! 현직 용사?! 강력한 마력에 선택 받은 자가 아니면 미동도 일으킬 수 없다는 전설의 검! 그 전설의 검을 노인 최창식이 뽑아 버리고 마는데?!",개그,15세 이용가,레진코믹스
화요일,울프 인더 하우스[개정판],https://www.lezhin.com/ko/comic/wolf_inda_house_15,https://ccdn.lezhin.com/v2/comics/5005186239102976/images/wide.webp?updated=1585215124298&width=277,박지연,"[개정판]
해당 작품은 <울프 인더 하우스> 성인 버전의 일부 장면을 수정한 개정판입니다. 마지못해 사귀어왔던 애인과의 뻔한 이별. 후련한 마음으로 삶의 전환점을 찾던 민석은 대형견 백산이를 임시로 보호하게 된다. 구질구질 구남친 대신 귀여운 멍멍이와 함께 자유를 만끽할 줄 알았는데... 생각보다 많이 엉뚱한 존재가 삶에 들어와버렸다!",BL,15세 이용가,레진코믹스
화요일,인시크릿[개정판],https://www.lezhin.com/ko/comic/insecret_15,https://ccdn.lezhin.com/v2/comics/5665181768679424/images/wide.webp?updated=1621229868182&width=277,이파도,"[개정판]
해당 작품은 <인시크릿> 성인 버전의 일부 장면을 수정한 개정판입니다. 회사의 골칫거리였던 <인시크릿> 멤버 박도진, 그를 유일하게 컨트롤 할 수 있는 멤버 최유원! 두 사람은 나름대로 원만한 팀메이트 관계를 유지하고 있었다. '그날' 박도진이 그런 실수를 하기 전까지는...",BL,15세 이용가,레진코믹스
화요일,구독한 식탁,https://www.lezhin.com/ko/comic/siktak,https://ccdn.lezhin.com/v2/comics/6602849724465152/images/wide.webp?updated=1632988190430&width=277,눅쓰,"무작정 시작해버린 먹방 너튜브 채널.
반응 없으면 접자는 마음으로 무심코 올린 영상이 대박?!
탄탄대로일 줄 알았던 너튜버의 길을 가로막는 콘텐츠 부족과 악플 공격...
그때 이 채널의 구독자 한 명이 도와주겠다며 나타나는데...!
누구나 대박을 꿈꾸지만, 쉽지 않은 너튜버의 길. <구독한 식탁>!",일상,전체 이용가,레진코믹스
화요일,그렇게 내가 싫다면[개정판],https://www.lezhin.com/ko/comic/hate_me_15,https://ccdn.lezhin.com/v2/comics/6004151141072896/images/wide.webp?updated=1595670901616&width=277,파고,"[개정판]
해당 작품은 <그렇게 내가 싫다면> 성인 버전의 일부 장면을 수정한 개정판입니다.
아웃사이더 복학생 민재는 우연히 과방에서 자고 있는 조교 진한을 몰래 훔쳐보는 후배 형조를 목격한다. 그날 이후 민재는 형조에게 정신적 육체적으로 시달리게 되는데... 서로 싫어하지만 왠지 모르게 끌리는 두 사람. 이들의 관계는 과연 어떻게 될 것인지?",BL,15세 이용가,레진코믹스
화요일,노라줘요 -우리 집 웰시코기 이야기-,https://www.lezhin.com/ko/comic/asondekure,https://ccdn.lezhin.com/v2/comics/5947434825154560/images/wide.webp?updated=1627378910475&width=277,라쿠다,"역대급으로 귀여운 반려동물 웹툰 탄생!!
아장아장 짧은 다리, 오동통한 엉덩이, 귀여운 미소를 가진 웰시코기
개를 키워 본 이들이라면 모두 공감할 만한 에피소드로 무장한,
읽는 즉시 입꼬리 UP, 광대승천 보장 애견인의 필수웹툰
일본 트위터 화제의 작품이 드디어 한국 연재 시작!!
본 작품은 1~3화는 컬러 특별판으로 제작되었으며,
그 후에는 부분 컬러, 흑백으로 구성된 작품입니다.",일상,15세 이용가,레진코믹스
화요일,연화,https://www.lezhin.com/ko/comic/lotus,https://ccdn.lezhin.com/v2/comics/5777799590772736/images/wide.webp?updated=1615774378267&width=277,"스튜디오 열일, 스튜디오 질풍",고려시대를 배경으로 가상의 이야기를 결합한 퓨전 사극로맨스. 아버지의 복수를 위해 왕을 죽이려는 여자와 그녀를 사랑한 왕의 이야기,로맨스,전체 이용가,레진코믹스
