id,제목,URL,Thumbnail,작가,스토리,장르,연령대
733766,인생존망,https://comic.naver.com/webtoon/list?titleId=733766,https://shared-comic.pstatic.net/thumb/webtoon/733766/thumbnail/thumbnail_IMAG10_b187e34b-9f68-4fd0-9b65-863560682933.jpg,박태준 / 전선욱,학교 다닐때 날 지독하게 괴롭힌 너 때문에 난 인생이 망했어.그런데 왜 넌 안 망하고 오히려 더 떵떵거리며 사는거야?너도 한번 내가 되어서 너한테 똑같이 당해봐!!,"에피소드, 액션",15세 이용가
721949,일진이 사나워,https://comic.naver.com/webtoon/list?titleId=721949,https://shared-comic.pstatic.net/thumb/webtoon/721949/thumbnail/thumbnail_IMAG10_7f13bf37-cf66-4cfb-922c-8399016459d7.jpg,강환영 / 김현아,갑작스러운 고백으로 만난 나와 정반대인 남자친구. 우리... 왜 사귀는거지?,"스토리, 드라마",12세 이용가
759091,봉이 김선달,https://comic.naver.com/webtoon/list?titleId=759091,https://shared-comic.pstatic.net/thumb/webtoon/759091/thumbnail/thumbnail_IMAG10_d712a97b-c1b9-4af2-8c67-9de7f6642002.jpg,"양우석,정하용 / 제피가루",평양에서 훈장으로 소일하고 있던 봉이 김선달.평안감사로 온 조덕영의 폭정에 신음하는 백성을 대표하여 세상에 나오다!,"스토리, 시대극",전체연령가
759092,잭슨의 관,https://comic.naver.com/webtoon/list?titleId=759092,https://shared-comic.pstatic.net/thumb/webtoon/759092/thumbnail/thumbnail_IMAG10_6bcb2b67-eafc-4ec4-b5c3-26ca8c4b92de.jpg,CTK,"평범한듯 평범하지 않은 일을 하는 평범한(?) 장의사와 도둑들의 훔치고, 속이고, 빼앗는 유쾌한 약탈 사기 작전!도둑들에게 잘못 얽힌 장의사의 얼굴엔 상처가 없는 날이 없다!","스토리, 액션",15세 이용가
732224,인싸라이프,https://comic.naver.com/webtoon/list?titleId=732224,https://shared-comic.pstatic.net/thumb/webtoon/732224/thumbnail/thumbnail_IMAG10_798f77b5-4014-428b-be49-5db1894dc0ee.jpg,힐링달,내 옷이 맘에 들어? 비밀 계정에서 라이크로 샀어!원하는 것은 무엇이든 이루어주는 비밀 계정이 생겼다,"스토리, 드라마",12세 이용가
750523,에리타,https://comic.naver.com/webtoon/list?titleId=750523,https://shared-comic.pstatic.net/thumb/webtoon/750523/thumbnail/thumbnail_IMAG10_1371f292-7a37-4f5a-8a78-fc2d82f20c5f.jpg,d몬,"<데이빗> d몬작가 '사람 3부작' 그 두 번째 이야기.마지막 남은 인류의 존재 그리고, 에리타.","스토리, 드라마",12세 이용가
733395,꼬맹이를 부탁해!,https://comic.naver.com/webtoon/list?titleId=733395,https://shared-comic.pstatic.net/thumb/webtoon/733395/thumbnail/thumbnail_IMAG10_0e1e427e-df4f-4f88-8634-94b5e6e30e3c.jpg,마라링,"좋아하는 누나에게 고백하고 차인 호연, 그런데 집에 놀러 온 귀찮은 꼬맹이가 누나의 동생이라구?! 고백도 하고, 애도 돌보고! 꼬맹이와 함께 하는 일상!","스토리, 로맨스",전체연령가
726842,무모협지,https://comic.naver.com/webtoon/list?titleId=726842,https://shared-comic.pstatic.net/thumb/webtoon/726842/thumbnail/thumbnail_IMAG10_9a600596-d77d-4ee3-92bf-e0f06f5221cc.jpg,초신우,강호를 평정했지만 그를 괴롭히는 한가지 고민그것은 바로 대.머.리.발모제를 향한 그의 모험이 시작된다!,"스토리, 개그",12세 이용가
603159,레사 시즌2~3,https://comic.naver.com/webtoon/list?titleId=603159,https://shared-comic.pstatic.net/thumb/webtoon/603159/thumbnail/thumbnail_IMAG10_e47a774d-8148-48b1-b7f6-2d1d7cd19d43.jpg,POGO,"어둠을 따르는 자와, 빛을 따르려는 자. 마침내 모두에게 공평한 멸망의 때가 왔다...! 멸망을 막기 위한 신들의 전쟁.","스토리, 판타지",12세 이용가
756072,하늘아래 우체부,https://comic.naver.com/webtoon/list?titleId=756072,https://shared-comic.pstatic.net/thumb/webtoon/756072/thumbnail/thumbnail_IMAG10_c01ed20e-5432-4c04-a56f-e79eafd4192d.jpg,란게,"라이벌 우체부로 인해 날개가 부러져버린 제비 우체부 카르테로는자신의 목적지였던 최초의 섬, 프리메로에 떨어지게 되고 그곳에서 꿀벌 소녀인 아벨리의 도움을 받게 된다.","스토리, 판타지",전체연령가
