영화제목,평점,댓글,작성자,날짜
키드,10,무성영화의 매력을 가르쳐준 영화. 1921년작이라는 것을 생각하면 믿기질 않는다.,ilha****,11.10.27
키드,10,잼섯어요!~~~~,knp0****,11.07.15
키드,10,그 1920년대의 이 영화를 지금봐도 공감되다니 놀랍지않나요. 여러분,sjy4****,11.07.14
키드,10,무성영화라서재미없을줄알았는데 진심짱ㅜ,dab1****,11.07.13
키드,9,결말이 조금 아쉬웠지만.. 채플린 연기중 최고인듯.,ldy6****,11.06.13
키드,10,채플린 영화중에 최고인것 같아요.. 감동 ㅜㅜ,phil****,11.06.13
키드,10,더이상 말이필요없지 ^^,0tae****,11.05.22
키드,9,감동적~~ 무성영화의 재미를 느낀다,park****,11.05.08
키드,7,옛날영화치고는 괜찮은편,real****,11.04.06
키드,5,흑백무성영화라 좀 답답함..,gpwl****,11.03.30
키드,10,진짜 감동적이면서도 사람이 이렇게 재능이 많을 수가 있는지 궁금할정도.....,dlsk****,11.03.20
키드,10,이거 봤는데 . 완전 재밌었어요ㅎ,jane****,10.10.30
키드,10,아주 흥미진진하다.,ywsu****,10.09.21
키드,10,쵝오,tall****,10.09.11
키드,10,와 짱이다,jiwo****,10.08.20
키드,10,눈물겨운 어린 시절의 추억이 만들어낸 자화상적 이야기,hyuk****,10.08.11
키드,8,희극의제왕 찰리채플린!,powe****,10.06.01
키드,10,최고,wjdg****,10.05.03
키드,10,와!최고다,doct****,10.04.03
키드,10,가난하고 구멍난 삶이지만 그 속에 웃음과 사랑이 있구나 !,sylo****,10.03.19
키드,8,젊은 채플린의 모습과 미국의 어두운 단면을 볼 수 있음.,jjyn****,10.03.03
키드,10,근 백년이 지났음에도 작품성이 느껴진다,sile****,10.01.09
키드,10,오마이갓,arso****,10.01.05
키드,9,천재의 떡잎은 역시나 남달랐다...,mygr****,10.01.01
키드,10,얼마전에보게되었는데..감동이더군요ㅋㅋ재미와감동을함께느낄수있엇던영화였습니다.,kopa****,09.10.29
